family_label,variation,variation_keys,category,year,name,source_formula,symbol,semantic,canonical_parameter,kept,reason
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1852.0,Brute-force search,$O((m+n) 3^n)$,,,vertices in the graph,False,year missing or outside 1950-2026
Graph Coloring,4-Graph Coloring,4-graph coloring,serial,1852.0,Brute force,$O((m+n) 4^n)$,,,vertices in the graph,False,year missing or outside 1950-2026
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1976.0,Lawler,$O(mn 3^{n/3}) ~ O(mn(1.445)^n)$,,,vertices in the graph,False,formula not usable: nested asymptotic notation has no determinate value
Graph Coloring,4-Graph Coloring,4-graph coloring,serial,1976.0,Lawler,$O((m+n)2^n)$,n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1979.0,Brélaz (DSatur),$O(n^2)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1988.0,Johnson,$O(1.4422^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1989.0,Petford and Welsh,$O(n \log n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1994.0,Schiermeyer,$O(1.415^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1995.0,Beigel & Eppstein,$O(1.3446^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Coloring a Random 3-Colorable Graph,3-coloring a random 3-colorable graph,serial,1997.0,Alon and Kahale,$O(\text{poly}(n))$,,,vertices in the graph,False,formula not usable: poly(...) has no determinate exponent
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1998.0,Hirsch,$O(1.239^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,1999.0,Schöning,$O(1.333^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,3-Graph Coloring,3-graph coloring,serial,2000.0,Beigel & Eppstein,$O(1.3289^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,4-Graph Coloring,4-graph coloring,serial,2004.0,Byskov,$O(1.7504^n)$,n,vertices,vertices in the graph,True,kept
Graph Coloring,4-Graph Coloring,4-graph coloring,serial,2007.0,Fomin; Gaspers & Saurabh,$O(1.7272^n)$,n,vertices,vertices in the graph,True,kept
Graph Cycles,Cycle Finding,cycle finding,quantum,2016.0,"Cade, Montanaro, Belovs",Õ(n^(3/2)),n,vertices,vertices in the graph,True,kept
Graph Edit Distance Computation,,(general),serial,1983.0,Alberto Sanfeliu and King-Sun Fu,$O(V^3 E^2)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Graph Edit Distance Computation,,(general),serial,1997.0,Wang Y-K; Fan K-C; Horng J-T,$O(V E^2 \log \log E)$,V,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'E'
Graph Edit Distance Computation,Inexact GED,inexact ged,serial,1998.0,Finch,$O(V^2 E)$,,,vertices in the graph,False,does not solve the problem exactly
Graph Edit Distance Computation,Inexact GED,inexact ged,serial,2006.0,"Neuhaus, Riesen, Bunke",$O(V^2)$,,,vertices in the graph,False,does not solve the problem exactly
Graph Edit Distance Computation,Inexact GED,inexact ged,serial,2013.0,K Riesen,$O(V^2)$,,,vertices in the graph,False,does not solve the problem exactly
Graph Edit Distance Computation,Inexact GED,inexact ged,serial,2017.0,L Chang,$O(V E^2 \log V)$,,,vertices in the graph,False,does not solve the problem exactly
Graph Edit Distance Computation,Exact GED,exact ged,serial,2019.0,X Chen,$O(V!)$,,,vertices in the graph,False,formula not usable: factorial runtimes are not evaluated
Graph Isomorphism,"Graph Isomorphism, General Graphs","graph isomorphism, general graphs",parallel,2020.0,"Pham, Palem, Rao",$n^(O(\log n))$ ?,,,vertices in the graph,False,formula not usable: nested asymptotic notation has no determinate value
Graph Isomorphism,,(general),quantum,2023.0,A Graph Isomorphism Algorithm based on Continuous-Time Quantum Walks,O(N^7),,,vertices in the graph,False,cannot tell what N means (no definition given and the family is inconsistent)
Graph Isomorphism,,(general),serial,1976.0,Schmidt & Druffel,$O(n\cdot n!)$,,,vertices in the graph,False,formula not usable: factorial runtimes are not evaluated
Graph Isomorphism,"Graph Isomorphism, Bounded Number of Vertices of Each Color","graph isomorphism, bounded number of vertices of each color",serial,1980.0,Babai,$o(\exp(2n^{1/2}\log^2 n))$,n,vertices,vertices in the graph,True,kept
Graph Isomorphism,,(general),serial,1981.0,McKay,$O((m_1 + m_2)n^3 + m_2 n^2 L)$; possibly $O(\exp(O(n\log n))))$?,,,vertices in the graph,False,"formula depends on too many parameters (L, m_1, m_2, n)"
Graph Isomorphism,"Graph Isomorphism, General Graphs","graph isomorphism, general graphs",serial,1983.0,Babai and Luks,$\exp(n^{1/2 + o(1)})$,n,vertices,vertices in the graph,True,kept
Graph Isomorphism,Partial k-trees,partial k-trees,serial,1990.0,Bodlaender,$O(n^{k+4.5})$,,,vertices in the graph,False,"also depends on 'k' (graphs which partial k trees), which has no worst-case bound in terms of vertices in the graph"
Graph Isomorphism,Isomorphism of strongly regular graphs,isomorphism of strongly regular graphs,serial,1996.0,Spielman,$n^{O(n^{1/3} \log n)}$,,,vertices in the graph,False,formula not usable: nested asymptotic notation has no determinate value
Graph Isomorphism,Circulant graphs,circulant graphs,serial,2004.0,Muzychuk,$O(n^2)$,n,vertices,vertices in the graph,True,kept
Graph Isomorphism,Hypergraphs isomorphism,hypergraphs isomorphism,serial,2008.0,Babai & Codenotti,$\exp(O(k^2 \sqrt{n}))$,,,vertices in the graph,False,formula not usable: nested asymptotic notation has no determinate value
Graph Isomorphism,,(general),serial,2017.0,Babai,$2^{O(\log n)^3}$,,,vertices in the graph,False,formula not usable: nested asymptotic notation has no determinate value
Graph Realization Problems,Digraph Realization Problem,digraph realization problem,serial,1973.0,Kleitman–Wang Algorithm,$O(n)$,n,raw:number degree pairs,number degree pairs,True,kept
Graph Realization Problems,Digraph Realization Problem,digraph realization problem,serial,1982.0,Fulkerson–Chen–Anstee,$O(n)$,n,raw:number degree pairs,number degree pairs,True,kept
Graph Realization Problems,DAG Realization Problem,dag realization problem,serial,2011.0,Berger & Müller-Hannemann,$\exp(O(n))$,,,number degree pairs,False,formula not usable: nested asymptotic notation has no determinate value
Graph Triangle Problems,Triangle Detection,triangle detection,quantum,2000.0,"Buhrman, Dürr, Heiligman, Høyer, Magniez, Santha, De Wolf",O(n + sqrt(n*m)),n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
Graph Triangle Problems,Triangle Detection,triangle detection,quantum,2005.0,"Magniez, Santha, Szegedy 1",O(n^(10/7)*poly(log(n))),,,vertices in the graph,False,formula not usable: poly(...) has no determinate exponent
Graph Triangle Problems,Triangle Detection,triangle detection,quantum,2005.0,"Magniez, Santha, Szegedy 2",O(n^(13/10)*poly(log(n))),,,vertices in the graph,False,formula not usable: poly(...) has no determinate exponent
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,1987.0,"Kannan, Miller, Rudolph",$O(n^3(\log n)(\log \log n))$,n,input_bits,bits of input,True,kept
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,1990.0,"Chor, Goldreich [CRCW]",$O(n^(2+eps)/\log n) for any eps>0$,,,bits of input,False,formula not usable: nested asymptotic notation has no determinate value
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,1990.0,"Chor, Goldreich [CREW]",$O(n^(2+eps)(\log \log n)/\log n) for any eps>0$,,,bits of input,False,formula not usable: nested asymptotic notation has no determinate value
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,1994.0,Sorenson (left shift k-ary),$O(nk^(2+o(1))(n/\log k + (\log n)^2(\log \log n)))$,,,bits of input,False,"also depends on 'k' (any even power 2 between log n 2 n), which has no worst-case bound in terms of bits of input"
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,1994.0,Sorenson (right shift k-ary),$O(nk^(4+o(1))(n/\log k + (\log n)^2(\log \log n)))$,,,bits of input,False,"also depends on 'k' (any number between log n 2 n), which has no worst-case bound in terms of bits of input"
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,2001.0,Sedjelmaci,$O(n^(2+eps)/\log n) for any eps>0$,,,bits of input,False,formula not usable: nested asymptotic notation has no determinate value
Greatest Common Divisor,Greatest Common Divisor,(general),parallel,2010.0,Sorenson,$O(n^(7+eps)(\log \log n)/\log n) for any eps>0$,,,bits of input,False,formula not usable: nested asymptotic notation has no determinate value
Greatest Common Divisor,Greatest Common Divisor,(general),serial,-300.0,Euclid's algorithm,$O(n^2)$,,,bits of input,False,year missing or outside 1950-2026
Greatest Common Divisor,Greatest Common Divisor,(general),serial,1940.0,Lehmer's GCD algorithm,$O(n^2)$,,,bits of input,False,year missing or outside 1950-2026
Greatest Common Divisor,Greatest Common Divisor,(general),serial,1967.0,Binary GCD algorithm,$O(n^2)$,n,input_bits,bits of input,True,kept
Greatest Common Divisor,Greatest Common Divisor,(general),serial,2006.0,"Sthele, Zimmermann",$O(n \log^2 n \log \log n)$,n,input_bits,bits of input,True,kept
Gröbner Bases,Gröbner Bases,(general),serial,1976.0,Buchberger's algorithm,$O(d^{2^{n+o(1)}})$,,,an undefined parameter,False,family has no usable input-size parameter
Gröbner Bases,Gröbner Bases,(general),serial,1999.0,Faugère F4 algorithm,$O(\binom{n+D_{reg}}{D_{reg}}^{\omega})$,,,an undefined parameter,False,family has no usable input-size parameter
Gröbner Bases,Gröbner Bases,(general),serial,2002.0,Faugère F5 algorithm,$O(\binom{n+D_{reg}}{D_{reg}}^{\omega})$,,,an undefined parameter,False,family has no usable input-size parameter
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,1994.0,V. A. Lyul’ka and A. V. Romanenko,$O(n^5)$,n,points,input points,True,kept
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,1999.0,"P. Costantini, B. I. Kvasov, and C. Manni",$O(n^5 \log K)$,,,input points,False,"also depends on 'K' (an undefined parameter), which has no worst-case bound in terms of input points"
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,2000.0,B. I. Kvasov,$O(n^4)$,n,points,input points,True,kept
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,2003.0,V. A. Lyul’ka and I. E. Mikhailov,$O(n^4)$,n,points,input points,True,kept
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,2006.0,V. I. Paasonen,$O(n^5 \log K)$,,,input points,False,"also depends on 'K' (an undefined parameter), which has no worst-case bound in terms of input points"
Hyperbolic Spline Interpolation,Hyperbolic Spline Interpolation,(general),serial,2008.0,B.I. Kvasov,$O(n^3 \log^2 K)$,,,input points,False,"also depends on 'K' (an undefined parameter), which has no worst-case bound in terms of input points"
Image Compositing,Image Compositing,(general),serial,1985.0,Petro Vlahos Algorithm,$O(n^2 k/r)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1974.0,S.L. Horowitz and T. Pavlidis - directed split and merge,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1978.0,Recursive Region Splitting,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1979.0,watershed transformation 1979,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1984.0,Geman and Geman Markov random fields,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1986.0,Iterated conditional modes algorithm,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1987.0,Kass; Witkin and Terzopoulos,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1989.0,David Mumford and Jayant Shah (1989),$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1991.0,Chen's lambda-connected segmentation,$O(n \log n)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1994.0,Multiple Resolution segmentation - J. Liu and Y. H. Yang (1994),$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1995.0,Bijaoui and Rué,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,1997.0,topological watershed,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2000.0,Florack and Kuijper,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2001.0,Linda G. Shapiro and George C. Stockman (2001),$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2002.0,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2004.0,R. Nock and F. Nielsen Statistical Region Merging,$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2005.0,Quasi-linear Topological watershed,$O(n \log n)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2006.0,Isometric graph partitioning - Leo Grady and Eric L. Schwartz (2006),$O(n^2)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2012.0,Dual clustering - Guberman,$O(n \log n)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Image Segmentation,,(general),serial,2014.0,Barghout; Lauren Visual Taxometric approach,$O(n \log n)$,,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Informed Search,Informed Search,(general),serial,1959.0,Greedy Best-First Search,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,1968.0,A* Algorithm,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,1985.0,Iterative Deepening A* (IDA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,1992.0,Simplified Memory-Bounded A* (SMA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,1994.0,D*,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2001.0,Lifelong Planning A* (LPA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2005.0,Anytime Repairing A* (ARA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2005.0,Fringe,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2006.0,Field D*,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2007.0,Bidirectional A* Algorithm,$O(b^{(d/2)})$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2008.0,Fringe Saving A* (FSA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2008.0,Generalized Adaptive A* (GAA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2009.0,Time-Bounded A* (TBA*),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2010.0,Theta*,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2011.0,Jump Point Search (JPS),$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Informed Search,Informed Search,(general),serial,2011.0,Block A*,$O(b^d)$,,,an undefined parameter,False,family has no usable input-size parameter
Integer Factoring,Second Category Integer Factoring,(general),parallel,1985.0,Wunderlich (continued fraction factoring),$M^a / (r(a) a^2 \log^2 M)$,,,bits of input,False,"cannot tell what a, r means (no definition given and the family is inconsistent)"
Integer Factoring,Second Category Integer Factoring,(general),parallel,1987.0,Silverman (multiple polynomial quadratic sieve),"$L_n[1/2,(9/8)^(1/2)] = exp((sqrt(9/8)+o(1)) * sqrt(ln n * ln ln n))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,First Category Integer Factoring,(general),parallel,1990.0,Parallel Lenstra's ECM (Brent),$T_1 + O(T_1^{1=2+\eps}*P)$,,,bits of input,False,formula not usable: unbalanced parentheses in the source cell
Integer Factoring,Second Category Integer Factoring,(general),parallel,1993.0,Yan (trial division),$pi(sqrt(n))$,,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,1993.0,Rational sieve,"$L_n[1/3,(32/9)^(1/3)] = exp(((32/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,1994.0,Sorenson,$exp[O(\log^d n)]$,,,bits of input,False,formula not usable: nested asymptotic notation has no determinate value
Integer Factoring,Second Category Integer Factoring,(general),parallel,2000.0,"Åsbrink, Brynielsson (quadratic sieve with only parallel sieving)","$L_n[1/2,(9/8)^(1/2)] = exp((sqrt(9/8)+o(1)) * sqrt(ln n * ln ln n))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2005.0,"Yang, Xu, Lin (GNFS with parallel sieving and serial block lanczos)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2006.0,"Yang, Xu, Lin, Quinn (GNFS with parallel sieving and serial biorthogonal block lanczos)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2010.0,"Yang, Xu, Yeo, Hussain (GNFS with parallel sieving and montgomery block lanczos)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2014.0,"Daoud, Gad (GNFS with parallel sieving)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2017.0,"Yang, Huang, Feng, Pan, Zhu (GNFS with parallel sieving and MPI parallel block lanczos)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2017.0,"Yang, Huang, Feng, Xu (GNFS with parallel sieving and parallel block wiedemann)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2021.0,"Bouillaguet, Zimmermann (GNFS with structured gaussian elimination as dimension/density reduction before iterative linear solver)","$L_n[1/3,(64/9)^(1/3)] = exp(((64/9)^(1/3)+o(1))(ln n)^(1/3)(ln ln n)^(2/3))$",,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Second Category Integer Factoring,(general),parallel,2022.0,"Bahig, Hazber, Al-Utaibi, Nassr",$O(m)$,,,bits of input,False,"measured in the integer being factored, but this family is compared in bits of input"
Integer Factoring,Integer Factoring,(general),quantum,1994.0,Shor's Algorithm,"O(poly(n))
more specifically: O(n^2 log n)",n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2003.0,Modified Shor's,O(n^3),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2006.0,Modified Shor's,O(n^2 log n),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2006.0,Modified Shor's,O(n^3 log n),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2017.0,Modified Shor's,O(n^3 log n),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2018.0,Variational Quantum Factoring,O(s^2 n_c^4 n^8),,,bits of input,False,formula uses 2 different symbols that all mean bits of input
Integer Factoring,Integer Factoring,(general),quantum,2021.0,Gidney-Ekera,0.3*n^3 + 0.005*n^3 * log(n),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2022.0,SQIF,O(n^2/2p),,,bits of input,False,"also depends on 'p' (processors), which has no worst-case bound in terms of bits of input"
Integer Factoring,Integer Factoring,(general),quantum,2023.0,Regev's Algorithm,O(n^2),n,input_bits,bits of input,True,kept
Integer Factoring,Smallest Factor,smallest factor,quantum,2023.0,Grover-based,O(n^3 2^n),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2024.0,Chevnigard,O(n^3),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2024.0,Jacobi Factoring,O(n^(5/3)),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2025.0,Space-efficient Regev's Algorithm,O(n^2),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,2025.0,Modified Shor's,O(m_max * d_u),,,bits of input,False,"measured in depth unitary gate u, maximum qubit window size, but this family is compared in bits of input"
Integer Factoring,Integer Factoring,(general),quantum,2025.0,Factoring an integer with three oscillators and a qubit,O((log n)^2),n,input_bits,bits of input,True,kept
Integer Factoring,Integer Factoring,(general),quantum,,"Bernstein, Biasse, Mosca",O(exp(1.387 * n^(1/3) * (log n)^(2/3)),,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1202.0,Trial division,$O(2^{n/2})$,,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1894.0,Fermat's factorization method,$O(2^n)$,,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,Second Category Integer Factoring,(general),serial,1931.0,Continued fraction factorization (CFRAC),$O(e^{\sqrt{2n\log n}})$,,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1940.0,Wheel factorization,$O(2^{n/2})$,,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1940.0,Euler's factorization method,$O(2^{n/2})$,,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1940.0,Special number field sieve,"$O(\exp((1+o(1))(32n/9)^{1/3}(log n)^{2/3})$, under assumption about numbers in a sequence behaving randomly in a given range",,,bits of input,False,year missing or outside 1950-2026
Integer Factoring,First Category Integer Factoring,(general),serial,1974.0,Pollard's p − 1 algorithm,$O(B \log(B) \log^2(n))$,,,bits of input,False,"also depends on 'B' (smoothness bound can be exponential), which has no worst-case bound in terms of bits of input"
Integer Factoring,First Category Integer Factoring,(general),serial,1975.0,Pollard's rho algorithm,-,,,bits of input,False,formula not usable: no formula recorded
Integer Factoring,Second Category Integer Factoring,(general),serial,1981.0,Dixon's algorithm,$O(e^{2 \sqrt{2} \sqrt{n\log n}})$,n,input_bits,bits of input,True,kept
Integer Factoring,Second Category Integer Factoring,(general),serial,1981.0,Quadratic sieve,"$O(e^{\sqrt{(1+o(1))n \log n}})$, under assumption about numbers in a sequence behaving randomly in a given range",n,input_bits,bits of input,True,kept
Integer Factoring,First Category Integer Factoring,(general),serial,1982.0,Williams' p + 1 algorithm,$O(2^n)$,n,input_bits,bits of input,True,kept
Integer Factoring,First Category Integer Factoring,(general),serial,1987.0,Lenstra elliptic curve factorization,$O(e^{\sqrt{(1+o(1))n\log n}})$,n,input_bits,bits of input,True,kept
Integer Factoring,Second Category Integer Factoring,(general),serial,1996.0,General number field sieve,"$O(\exp((1+o(1))(64n/9)^{1/3}(log n)^{2/3})$, under assumption about numbers in a sequence behaving randomly in a given range",n,input_bits,bits of input,True,kept
Integer Factoring,Second Category Integer Factoring,(general),serial,2007.0,Shanks's square forms factorization (SQUFOF),$O(2^{n/4})$,n,input_bits,bits of input,True,kept
Integer Relation,Integer Relation Among Reals,integer relation among reals,parallel,2001.0,"Bailey, Broadhurst",$O(n^3)*number of iterations$,,,number real numbers find integer relation,False,formula not usable: nested asymptotic notation has no determinate value
Integer Relation,Integer Relation,(general),serial,1979.0,Ferguson–Forcade algorithm,$O(n^3)$,n,raw:number real numbers find integer relation,number real numbers find integer relation,True,kept
Integer Relation,Integer Relation,(general),serial,1982.0,LLL algorithm,$O(n^4)$,n,raw:number real numbers find integer relation,number real numbers find integer relation,True,kept
Integer Relation,Integer Relation,(general),serial,1986.0,HJLS algorithm,$O(n^3(n+k))$,,,number real numbers find integer relation,False,"measured in dimensions, relation size parameter, but this family is compared in number real numbers find integer relation"
Integer Relation,Integer Relation,(general),serial,1988.0,PSOS algorithm,$O(n^3)$,n,raw:number real numbers find integer relation,number real numbers find integer relation,True,kept
Integer Relation,Integer Relation,(general),serial,1992.0,PSLQ algorithm,$O(n^3)$,n,raw:number real numbers find integer relation,number real numbers find integer relation,True,kept
Integral Equations,Volterra Equations,volterra equations,quantum,2022.0,Quantum Wavelet Matrix Operations,O(\text{poly}(\log N)),,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Integral Equations,Fredholm Equations,fredholm equations,quantum,2026.0,Hierarchically Low Rank Compression QLSP,\tilde{O}(\kappa \text{polylog}(N/\epsilon)),,,an undefined parameter,False,"approximation algorithm, not comparable to an exact runtime"
Integral Equations,,(general),serial,1800.0,Naive Implementation,$O(2^n)$,,,an undefined parameter,False,year missing or outside 1950-2026
Interval Scheduling,"Preemptive Scheduling on Many Machines, Minimize C_max","preemptive scheduling on many machines, minimize c_max",parallel,1988.0,Martel,$O(n(\log n + (\log k)^3))$,,,number tasks intervals,False,"also depends on 'k' (number machines resources), which has no worst-case bound in terms of number tasks intervals"
Interval Scheduling,"Preemptive Scheduling on Many Machines, Minimize Lateness","preemptive scheduling on many machines, minimize lateness",parallel,1988.0,Rodger,$O(n \log n)$,n,raw:number tasks intervals,number tasks intervals,True,kept
Interval Scheduling,Weighted Activity Selection Problem,weighted activity selection problem,serial,1940.0,Brute force algorithm,$O(2^n)$,,,number tasks intervals,False,year missing or outside 1950-2026
Interval Scheduling,"Unweighted Interval Scheduling, Online","unweighted interval scheduling, online",serial,1940.0,Fixed priority shortest job first,$O(n \log n)$,,,number tasks intervals,False,year missing or outside 1950-2026
Interval Scheduling,"Unweighted Interval Scheduling, Online","unweighted interval scheduling, online",serial,1940.0,Priority scheduling,$O(n)$,,,number tasks intervals,False,year missing or outside 1950-2026
